2018-02-11 09:40:03	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected '}' (line 19 of /Applications/MAMP/htdocs/bannertool/site/templates/campaign-date-filter.inc)
2018-02-11 09:59:24	remco	http://localhost:8888/bannertool/klant-b/	Error: 	Call to a member function size() on null (line 90 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-12 08:57:34	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected '/' (line 136 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-12 13:59:23	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected '$campagnes' (T_VARIABLE), expecting '(' (line 25 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-12 14:06:27	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 24 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-12 14:06:35	remco	http://localhost:8888/bannertool/klant-b/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php line 396)  #0 /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php(439): ProcessWire\Selectors->create('April', '', '') #1 /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php(159): ProcessWire\Selectors->extractString('template=campai...') #2 /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php(145): ProcessWire\Selectors->setSelectorString('template=campai...') #3 /Applications/MAMP/htdocs/bannertool/wire/core/WireArray.php(1406): ProcessWire\Selectors->init('template=campai...') #4 /Applications/MAMP/htdocs/bannertool/wire/core/PageArray.php(461): ProcessWire\WireArray->filterData('template=campai...', false) #5 /Applications/MAMP/htdocs/bannertool/wire/core/WireArray.php(1534): ProcessWire\PageArray->filterData('template=campai...', false) #6 /Applications/MAMP/htdocs/bannertool/wire/core/PageArray.php(474): ProcessWire\WireArray->f
2018-02-12 16:58:29	remco	http://localhost:8888/bannertool/klant-b/	Error: 	Call to a member function find() on string (line 32 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-12 17:17:22	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/do-fase/	Error: 	Call to a member function size() on null (line 13 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-12 17:17:50	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/do-fase/	Error: 	Call to a member function size() on null (line 13 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-12 17:21:27	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/do-fase/	Error: 	Call to a member function size() on null (line 13 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-12 17:22:41	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/	Error: 	Call to a member function size() on null (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-12 17:28:49	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/	Error: 	Call to a member function size() on null (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-12 17:28:57	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/	Error: 	Call to a member function size() on null (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-12 17:29:06	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/	Error: 	Call to a member function size() on null (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-12 17:29:17	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/	Error: 	Call to a member function size() on null (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-12 20:52:28	remco	http://localhost:8888/bannertool/klant-b/2018/campagne-2018/	Error: 	Call to a member function size() on null (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-12 21:03:11	remco	http://localhost:8888/bannertool/klant-b/2017/	Error: 	Call to a member function size() on null (line 32 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/year-page.php)
2018-02-13 11:17:02	remco	http://localhost:8888/bannertool/klant-b/	Error: 	Call to a member function children() on string (line 30 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-13 13:03:20	remco	http://localhost:8888/bannertool/klant-b/	Error: 	Call to a member function children() on null (line 20 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-13 14:01:50	remco	http://localhost:8888/bannertool/klant-b/	Error: 	Exception: Field does not exist: category (in /Applications/MAMP/htdocs/bannertool/wire/core/PageFinder.php line 993)  #0 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(386): ProcessWire\PageFinder->___getQuery(Object(ProcessWire\Selectors), Array) #1 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___getQuery', Array) #2 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\PageFinder), 'getQuery', Array) #3 /Applications/MAMP/htdocs/bannertool/wire/core/PageFinder.php(391): ProcessWire\Wire->__call('getQuery', Array) #4 /Applications/MAMP/htdocs/bannertool/wire/core/PageFinder.php(391): ProcessWire\PageFinder->getQuery(Object(ProcessWire\Selectors), Array) #5 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(386): ProcessWire\PageFinder->___find(Object(ProcessWire\Selectors), Array) #6 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___
2018-02-14 13:38:39	remco	http://localhost:8888/bannertool/klant-b/campagne-a-klant-b/see/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 111 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-14 13:38:51	remco	http://localhost:8888/bannertool/klant-b/campagne-a-klant-b/see/	Error: 	Call to a member function size() on null (line 93 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-14 13:42:09	remco	http://localhost:8888/bannertool/klant-b/campagne-a-klant-b/see/	Error: 	Call to a member function size() on null (line 93 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-16 10:39:06	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected end of file (line 194 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
